Roll: 1.39 degrees, Pitch: -11.41 degrees
Roll: 7.50 degrees, Pitch: 0.25 degrees
Roll: 5.44 degrees, Pitch: -1.84 degrees
Roll: 4.95 degrees, Pitch: -2.35 degrees
Roll: 5.40 degrees, Pitch: -2.10 degrees
Roll: 5.85 degrees, Pitch: -1.90 degrees
Roll: 4.92 degrees, Pitch: -1.55 degrees
Roll: 6.54 degrees, Pitch: -1.73 degrees
Roll: 5.56 degrees, Pitch: -3.04 degrees
Roll: 5.87 degrees, Pitch: -2.06 degrees
Roll: 4.60 degrees, Pitch: -3.55 degrees
Roll: 4.65 degrees, Pitch: -2.49 degrees
Roll: 0.67 degrees, Pitch: -8.52 degrees
Roll: 2.31 degrees, Pitch: 1.13 degrees
Roll: 6.12 degrees, Pitch: -3.65 degrees
Roll: 2.61 degrees, Pitch: -3.60 degrees
Roll: 6.14 degrees, Pitch: -1.30 degrees
Roll: 4.92 degrees, Pitch: -1.65 degrees
Roll: 6.54 degrees, Pitch: -2.01 degrees
Roll: 3.80 degrees, Pitch: -5.12 degrees
Roll: 3.34 degrees, Pitch: -3.51 degrees
Roll: 7.39 degrees, Pitch: 0.69 degrees
Roll: 6.01 degrees, Pitch: -1.06 degrees
Roll: 5.46 degrees, Pitch: -1.84 degrees
Roll: 6.26 degrees, Pitch: -1.69 degrees
Roll: 6.01 degrees, Pitch: -2.05 degrees
Roll: 6.24 degrees, Pitch: -2.85 degrees
Roll: 6.24 degrees, Pitch: -1.55 degrees
Roll: 6.59 degrees, Pitch: 0.41 degrees
Roll: 5.45 degrees, Pitch: 6.07 degrees
Roll: 3.76 degrees, Pitch: 6.89 degrees
Roll: 7.47 degrees, Pitch: -2.15 degrees
Roll: 5.23 degrees, Pitch: -1.99 degrees
Roll: 6.10 degrees, Pitch: -1.75 degrees
Roll: 5.43 degrees, Pitch: -0.26 degrees
Roll: 7.31 degrees, Pitch: 1.30 degrees
Roll: 6.76 degrees, Pitch: -0.20 degrees
Roll: 5.42 degrees, Pitch: -2.00 degrees
Roll: -2.80 degrees, Pitch: -1.53 degrees
Roll: 2.28 degrees, Pitch: -4.14 degrees
Roll: 7.58 degrees, Pitch: -2.16 degrees
Roll: 7.23 degrees, Pitch: -2.04 degrees
Roll: 5.98 degrees, Pitch: -1.56 degrees
Roll: 7.13 degrees, Pitch: 1.96 degrees
Roll: 7.58 degrees, Pitch: -0.16 degrees
Roll: 5.56 degrees, Pitch: -0.77 degrees
Roll: 5.37 degrees, Pitch: -1.67 degrees
Roll: 6.97 degrees, Pitch: -2.39 degrees
Roll: 4.95 degrees, Pitch: -1.62 degrees
Roll: 5.19 degrees, Pitch: -4.17 degrees
Roll: 5.84 degrees, Pitch: -2.44 degrees
Roll: 4.64 degrees, Pitch: -2.17 degrees
Roll: -2.38 degrees, Pitch: -0.26 degrees
Roll: 3.66 degrees, Pitch: -0.78 degrees
Roll: -0.06 degrees, Pitch: 0.03 degrees
Roll: 5.59 degrees, Pitch: -2.65 degrees
Roll: 7.75 degrees, Pitch: -0.62 degrees
Roll: 5.85 degrees, Pitch: -1.10 degrees
Roll: 6.17 degrees, Pitch: -0.73 degrees
Roll: 5.63 degrees, Pitch: -1.54 degrees
